GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
38,1989.5028,4865.3099,7699.1685,0.0,0.0,0.0,-4881.9942,-43015.4644,2176.4949,24363.1935,-5698.4188,198.9849672,-6803.788999999993,-5499.4338328,-12303.222832799993
39,1952.9754,4902.7304,7687.3421,0.0,0.0,0.0,-4884.3568,-43181.1298,2193.9506,24278.2778,-5539.7944,194.57921303999998,-7050.210299999999,-5345.21518696,-12395.425486959997
40,1887.2023,4815.5481,7742.1426,0.0,0.0,0.0,-4843.2244,-42953.501,2185.2253,24297.7159,-5736.24,196.86718296,-6868.891200000002,-5539.37281704,-12408.26401704
41,1961.5748,4848.4994,7753.2645,0.0,0.0,0.0,-4892.7331,-43044.3435,2193.6426,24337.2834,-5628.9766,196.01010936,-6842.811900000008,-5432.96649064,-12275.778390640007
42,1923.3216,4790.7946,7718.8953,0.0,0.0,0.0,-4827.0355,-43137.2959,2187.9711,24246.1681,-5493.9027,199.49882688,-7097.180699999997,-5294.40387312,-12391.584573119995
43,1990.5369,4880.0907,7774.4407,0.0,0.0,0.0,-4928.7211,-43005.0895,2194.7101,24288.5204,-5678.8289,192.90713688,-6805.511799999997,-5485.921763120001,-12291.433563119997
44,1977.1673,4845.3671,7718.3062,0.0,0.0,0.0,-4899.5866,-43056.1867,2162.6306,24270.7947,-5512.2024,194.65596792,-6981.507399999999,-5317.54643208,-12299.053832079999

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,14.8223,47.4246,58.9673,0.0,0.0,0.0,-9.225,-137.3939,12.0462,96.6734,-36.4231,5.38821072,83.31490000000001,-31.034889279999998,52.28001072000001
1,14.5603,55.7588,59.8795,0.0,0.0,0.0,-6.0907,-133.5253,15.547,91.9367,-36.1643,5.34890736,98.06630000000001,-30.81539264,67.25090736000001
2,14.8613,46.8186,58.1141,0.0,0.0,0.0,-10.4764,-135.6129,13.0841,92.4667,-35.3471,5.41192536,79.25550000000001,-29.93517464,49.32032536000001
3,14.9306,49.0885,54.5109,0.0,0.0,0.0,-7.8332,-133.0892,13.4916,92.962,-37.0843,5.400193679999999,84.0612,-31.684106319999998,52.37709368
4,11.0991,53.5302,57.4109,0.0,0.0,0.0,-7.0842,-140.3724,14.0421,99.7484,-35.8377,5.302944719999999,88.37410000000001,-30.53475528,57.839344720000014
5,23.402,56.3398,59.0701,0.0,0.0,0.0,-7.4934,-136.8887,13.5667,96.4676,-35.4911,5.31278712,104.46409999999997,-30.178312880000004,74.28578711999997
6,10.4497,42.7744,54.4138,0.0,0.0,0.0,-4.3281,-135.1884,14.3479,93.9267,-36.5311,5.36839992,76.39599999999999,-31.16270008,45.233299919999986
7,12.0752,45.9142,59.3828,0.0,0.0,0.0,-6.9792,-135.3844,14.6138,96.052,-35.6864,5.31619992,85.6744,-30.37020008,55.30419992000001
8,15.0116,50.025,55.9493,0.0,0.0,0.0,-8.5236,-133.0214,11.944,94.0297,-38.4318,5.449625279999999,85.4146,-32.98217472,52.43242527999999
9,14.6559,57.6166,58.83,0.0,0.0,0.0,-5.0128,-135.3237,18.4667,94.5344,-35.5607,5.23392336,103.7671,-30.32677664,73.44032336000001
10,19.8135,45.1079,59.285,0.0,0.0,0.0,-5.208,-130.591,10.9484,88.741,-37.4751,5.377791599999999,88.0968,-32.097308399999996,55.999491600000006
11,13.6565,52.6592,57.722,0.0,0.0,0.0,-5.6182,-136.0626,16.4824,95.2928,-36.4055,5.27560272,94.1321,-31.12989728,63.00220271999999
12,20.1942,54.7494,59.2103,0.0,0.0,0.0,-9.7894,-137.265,14.1612,96.2785,-35.6587,5.32227816,97.5392,-30.336421840000003,67.20277816
13,16.9006,52.7865,55.2128,0.0,0.0,0.0,-8.9495,-136.7997,16.036,99.873,-36.6226,5.38059096,95.0597,-31.24200904,63.81769096000001
14,15.408,51.8705,59.8221,0.0,0.0,0.0,-8.9791,-132.0528,13.3966,97.319,-40.4891,5.31512712,96.7843,-35.17397288,61.61032712
15,16.2541,55.4189,54.5568,0.0,0.0,0.0,-8.3362,-137.5071,17.2003,99.8537,-37.9001,5.26604544,97.4405,-32.63405456,64.80644544
16,10.6743,56.5668,53.821,0.0,0.0,0.0,-6.5251,-138.206,13.0963,99.4022,-34.8542,5.34229776,88.82950000000001,-29.511902239999998,59.31759776000001
17,16.7162,49.0026,54.6389,0.0,0.0,0.0,-5.237,-130.3501,13.0867,90.7777,-35.6822,5.298984,88.63499999999999,-30.383216,58.25178399999999
18,15.1099,50.8615,57.1418,0.0,0.0,0.0,-9.9738,-132.3363,11.6867,92.9697,-37.0478,5.3869672799999995,85.45950000000002,-31.660832720000002,53.79866728000002
19,23.2444,43.5891,56.2854,0.0,0.0,0.0,-8.9184,-136.651,12.4417,97.7914,-35.6513,5.38528032,87.78259999999997,-30.26601968,57.516580319999974
20,16.4553,54.6389,54.7958,0.0,0.0,0.0,-8.325,-140.6409,17.2657,98.2328,-34.3173,5.324032079999999,92.4226,-28.993267920000005,63.42933208
21,17.106,53.6671,54.9174,0.0,0.0,0.0,-7.7986,-139.4806,13.3946,101.3273,-35.2146,5.37822648,93.13319999999997,-29.836373519999995,63.29682647999998
22,10.1082,57.41,59.426,0.0,0.0,0.0,-10.7287,-138.6291,14.6984,96.6684,-34.4217,5.33863224,88.95320000000001,-29.083067760000002,59.87013224000001
23,11.4048,54.5157,56.1005,0.0,0.0,0.0,-9.2743,-126.9235,15.8391,83.3091,-35.99,5.29089768,84.9714,-30.69910232,54.27229768
24,14.6229,54.6787,49.1288,0.0,0.0,0.0,-10.135,-129.1027,13.6276,90.0131,-35.8681,5.37017904,82.83339999999998,-30.49792096,52.33547903999998
25,20.048,47.6337,58.2647,0.0,0.0,0.0,-9.1454,-129.1619,14.0551,89.2047,-34.6305,5.27934744,90.89889999999998,-29.35115256,61.54774743999999
26,16.717,52.8596,54.2274,0.0,0.0,0.0,-8.8414,-130.2033,14.559,89.8446,-36.9228,5.3103131999999995,89.1629,-31.612486800000003,57.550413199999994
27,7.5659,53.2888,54.9087,0.0,0.0,0.0,-7.7966,-131.5269,13.3411,89.2987,-33.594,5.396453279999999,79.07969999999999,-28.197546720000002,50.88215327999998
28,22.5462,50.0858,53.0509,0.0,0.0,0.0,-10.6136,-133.4046,13.4091,97.5175,-35.4829,5.2783739999999995,92.5913,-30.204526,62.386774
29,19.9202,56.4359,57.2399,0.0,0.0,0.0,-6.2355,-132.0737,13.2414,87.1458,-31.771,5.308109999999999,95.67399999999999,-26.46289,69.21110999999999
30,18.0624,39.2537,54.3511,0.0,0.0,0.0,-5.2937,-138.6173,17.4984,100.2742,-34.0674,5.31212616,85.5288,-28.75527384,56.77352616
31,18.2631,56.9553,51.4145,0.0,0.0,0.0,-11.447,-133.28,11.7006,93.459,-36.5635,5.30041536,87.0655,-31.26308464,55.802415360000005
32,14.1819,47.2357,53.228,0.0,0.0,0.0,-8.5958,-139.0257,13.7189,99.747,-34.2163,5.32941624,80.49000000000001,-28.886883759999996,51.60311624000001
33,14.6572,48.0164,59.0119,0.0,0.0,0.0,-9.0257,-125.131,13.3904,85.7877,-36.5029,5.2236288,86.70689999999999,-31.279271199999997,55.427628799999994
34,17.6714,58.6584,61.1033,0.0,0.0,0.0,-11.3367,-132.3834,13.4146,91.4517,-34.8273,5.32881936,98.57929999999999,-29.49848064,69.08081935999999
35,22.1345,55.3521,53.0986,0.0,0.0,0.0,-6.729,-130.3985,11.8611,90.5664,-36.8842,5.41125288,95.88519999999997,-31.47294712,64.41225287999997
36,20.0216,52.0243,54.5043,0.0,0.0,0.0,-9.911,-133.7572,15.1565,93.6228,-33.9596,5.310161279999999,91.66129999999997,-28.649438720000003,63.01186127999996
37,17.9502,53.3486,50.5322,0.0,0.0,0.0,-8.6219,-134.9055,14.5645,94.2217,-34.3731,5.4189684,87.08980000000001,-28.9541316,58.13566840000001
38,14.8745,46.965,57.4633,0.0,0.0,0.0,-7.8159,-135.6017,14.6408,93.6016,-34.3269,5.43473064,84.1276,-28.892169360000004,55.23543064
39,15.138,49.9087,58.2393,0.0,0.0,0.0,-9.7182,-135.7354,12.4257,93.2687,-33.6783,5.41843776,83.52680000000001,-28.25986224,55.266937760000005
40,14.5344,57.7452,64.1534,0.0,0.0,0.0,-9.81,-134.5917,15.0154,93.9695,-34.7422,5.326595999999999,101.01619999999998,-29.415604,71.60059599999998
41,18.0477,47.033,56.6211,0.0,0.0,0.0,-6.2325,-136.4943,14.7709,97.6699,-34.4861,5.40754488,91.41579999999999,-29.07855512,62.337244879999986
42,14.3282,51.9891,58.6786,0.0,0.0,0.0,-10.08,-133.4762,12.1956,92.401,-34.9372,5.490010079999999,86.0363,-29.44718992,56.58911008
43,16.3632,47.5491,54.0201,0.0,0.0,0.0,-6.0614,-133.5228,14.1952,93.3779,-34.5538,5.46055488,85.9213,-29.093245120000002,56.828054879999996
